export-0x7a250d5630b4cf539739df2c5dacb4c659f2488d
Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $1897.39/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Status,ErrCode,Method,
0x6e4722d29c22042f4eeb3b604255e68b218f233f04f3aef30c68c76ca784416d,16308200,1672531331,2023-01-01 00:02:11,0xb446af9f25a7c2ee75706b15149a4a54dfb9d338,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,,0.0555,0,105.305145,0.00083718771055092,1.58847159012221,1200.10,Error(0),execution reverted,Swap ETH For Exact Tokens,
0xc6341dbc8dfe3875aa33c7fb8ba2477be516d38823f46ba2c6916c071558597b,16308200,1672531331,2023-01-01 00:02:11,0xf8efd62b7f6e397a387a7fb232a54fe8f59c6b2a,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,,0.069,0,130.91991,0.00083718771055092,1.58847159012221,1200.10,Error(0),execution reverted,Swap ETH For Exact Tokens,
0x4decb4ec34ca8a68cb8d4ef4bb1575680179f22880ab18c1bad0b158dae21d3f,16308200,1672531331,2023-01-01 00:02:11,0x350d6e7c8b70442c57c0200d74d9bb55c24e67c8,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,,0.0643432523432,0,122.084243563464,0.00083718771055092,1.58847159012221,1200.10,Error(0),execution reverted,Swap ETH For Exact Tokens,
0x9a4a563847f19e977aa53445d485171345a6745e584493fdc7ea149cd864698d,16308200,1672531331,2023-01-01 00:02:11,0xa5a5d38366c213b1c8caea7107321937b412c700,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,,0.075,0,142.30425,0.00083685994791588,1.58784969657611,1200.10,Error(0),execution reverted,Swap ETH For Exact Tokens,
0xbde40fd2b9aee4b66137fb11eed39f165afe2050728e1b58da9b9fc594fc1d1b,16308200,1672531331,2023-01-01 00:02:11,0xff3092ef6bf19018ae5f44e3abaa873071408fef,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,,0.1,0,189.739,0.00083718771055092,1.58847159012221,1200.10,Error(0),execution reverted,Swap ETH For Exact Tokens,
0x08d59f89e6c3be6f2cc6eff1e8fed120b9bbd878f38206896ef319d1cea33939,16308200,1672531331,2023-01-01 00:02:11,0xf696552c072a500b6ddfbac064d465e16e1aafdb,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,,0.069,0,130.91991,0.00083718771055092,1.58847159012221,1200.10,Error(0),execution reverted,Swap ETH For Exact Tokens,
0x21c393bd506b7135928b216c5485fbae1cfd2b22711ba1769a5a98495575d566,16308200,1672531331,2023-01-01 00:02:11,0x4cb6f0ef0eeb503f8065af1a6e6d5dd46197d3d9,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,,0,0,0,0.00527528472318008,10.0092724809147,1200.10,,,Swap Exact Tokens For Tokens,
0x92037ee2ead9803a16597a94c55c08479bf107b985f181ef0abaaaa676c55c2a,16308202,1672531355,2023-01-01 00:02:35,0xd25c6b0e6f4e0e8c3dcf9a9437efa6ad5be3b658,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,,0.05,0,94.8695,0.002940008485476220,5.57834270025772,1200.10,,,Swap Exact ETH For Tokens,
0xc3ff75785990db57e746c4fd3b8f02c825ce2528db8260e0a1225b4c374a8c32,16308203,1672531367,2023-01-01 00:02:47,0x1d4f81c3e4bd849b33ff6be3b9780555a8e0dc3b,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,,0,0,0,0.00498062124439834,9.45018094290897,1200.10,,,Swap Exact Tokens For ETH Supporting Fee On Transfer Tokens,
0x06980f551bf01853a0994981c117f6d28cca065a0377427eda7555ebb33cc605,16308204,1672531379,2023-01-01 00:02:59,0xfead0ebc74ea0390ee3f042aa5bd953992b9981d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,,0,0,0,0.003417140398888290,6.48364802144664,1200.10,,,Remove Liquidity ETH With Permit,
0xb664df88be2acd9dedd24cba4f8636c0a65692adf8689d1c6c9b5571cf3b76c0,16308208,1672531427,2023-01-01 00:03:47,0x0826c42e32027cb5d40846011b1ccd2b64da7fa7,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,,0,0,0,0.002977341452948960,5.64917789941083,1200.10,,,Swap Exact Tokens For ETH Supporting Fee On Transfer Tokens,
0x46fc19a7fc3d8b09c9f1624cd96c2b747e8831c7bbc210a357cdcc8a57e5ad13,16308210,1672531451,2023-01-01 00:04:11,0x0826c42e32027cb5d40846011b1ccd2b64da7fa7,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,,0.2,0,379.478,0.001800239426803870,3.4157562860234,1200.10,,,Swap Exact ETH For Tokens,
